latitude,longitude,acq_date_converted,month,label,temp_max,rain,wind_speed_ms,wind_speed_kmh,humidity,ffmc,dmc,dc,isi,bui,fwi
20.32574,40.89713,15-06-2018,6,1,41.2,0,21.9,78.84,41,92.5837,12.5703,25.82,328.8406,12.4766,112.942
17.45982,44.06995,3/1/2019,1,1,29.4,0,17.1,61.56,76,85.0477,6.9012,19.996,47.1792,7.4094,28.7687
18.39027,42.65908,13-01-2019,1,1,24.9,0,24.8,89.28,80,84.0936,6.6402,19.186,167.5354,7.1199,63.9681
20.45366,40.47027,14-01-2019,1,1,33,0,25.9,93.24,85,83.897,6.6297,20.644,199.2448,7.3547,71.6811
20.45205,40.47014,14-01-2019,1,1,33,0,25.9,93.24,85,83.897,6.6297,20.644,199.2448,7.3547,71.6811
20.41115,40.47364,20-02-2019,2,1,30,0,20.5,73.8,64,86.5346,7.5904,20.104,107.6163,7.8095,50.1028
20.403,40.46908,20-02-2019,2,1,29.9,0,20.5,73.8,64,86.5183,7.5853,20.086,107.3682,7.8034,50.0181
20.40984,40.46812,20-02-2019,2,1,30,0,20.5,73.8,64,86.5346,7.5904,20.104,107.6163,7.8095,50.1028
17.39277,43.4768,25-02-2019,2,1,23.7,0,23.1,83.16,70,85.0477,7.0569,18.97,140.1029,7.3128,57.8198
20.47318,40.46657,26-02-2019,2,1,35.9,0,19.9,71.64,78,85.0477,7.1563,21.166,78.4047,7.7564,40.8827
18.26715,42.5074,10/12/2019,12,1,18,0,16.9,60.84,94,78.3563,6.1302,17.944,20.8341,6.6127,15.3689
17.50813,42.58554,12/1/2020,1,1,26.8,0,14.7,52.92,75,85.0477,6.8587,19.528,30.5261,7.304,21.1207
19.18975,41.75808,1/4/2020,4,1,36.3,0,16.7,60.12,82,85.0477,7.6321,22.488,43.8771,8.2577,28.4196
17.55384,42.6135,23-04-2020,4,1,38.6,0,25,90,82,85.0477,7.7324,22.902,197.7581,8.3862,74.234
17.19881,43.67267,15-08-2020,8,1,30.5,0,26.4,95.04,74,85.0477,7.6962,23.494,254.9354,8.4622,86.4417
20.58503,40.93483,17-09-2020,9,1,26,0,16.1,57.96,84,83.1915,6.772,21.384,30.7027,7.5592,21.4686
20.58982,40.93318,17-09-2020,9,1,26.6,0,16.1,57.96,84,83.2759,6.7891,21.492,31.0397,7.5867,21.6648
20.58908,40.92947,17-09-2020,9,1,26.6,0,16.1,57.96,84,83.2759,6.7891,21.492,31.0397,7.5867,21.6648
20.5884,40.92614,17-09-2020,9,1,26.2,0,16.1,57.96,84,83.2195,6.7777,21.42,30.8141,7.5684,21.5336
20.58561,40.93087,17-09-2020,9,1,26.3,0,16.1,57.96,84,83.2336,6.7805,21.438,30.8701,7.573,21.5662
20.59031,40.92881,17-09-2020,9,1,26.9,0,16.1,57.96,84,83.3184,6.7976,21.546,31.2113,7.6005,21.7643
20.58929,40.924,17-09-2020,9,1,26.4,0,16.1,57.96,84,83.2476,6.7834,21.456,30.9264,7.5776,21.599
20.59802,40.94524,18-09-2020,9,1,28.8,0,15.1,54.36,36,91.18,9.4069,21.888,78.5218,9.3731,43.5753
18.39077,42.71771,12/12/2020,12,1,22.8,0,18.2,65.52,94,78.7762,6.163,18.808,27.388,6.7755,19.0135
19.89091,41.67007,25-02-2021,2,1,14.9,0,18.2,65.52,100,74.308,6,17.386,20.0594,6.442,14.7885
16.78443,43.20578,8/4/2021,4,1,37.5,0,19.3,69.48,47,90.7998,10.9597,22.704,159.3491,10.8707,70.8867
16.78381,43.20264,8/4/2021,4,1,37.5,0,19.3,69.48,47,90.7998,10.9597,22.704,159.3491,10.8707,70.8867
20.38407,40.46009,17-05-2021,5,1,43.6,0,29,104.4,18,97.6602,15.6498,25.252,2386.6436,15.44,346.2553
17.45388,43.1021,23-06-2021,6,1,29,0.3,18.7,67.32,79,84.9651,7.6641,23.624,62.3545,8.4637,36.257
18.01961,42.73029,24-06-2021,6,1,28.1,0,11.2,40.32,73,85.0477,8.0756,23.462,16.1783,8.6811,14.0457
18.0192,42.72699,24-06-2021,6,1,28.3,0,11.2,40.32,73,85.0477,8.0898,23.498,16.1783,8.6955,14.055
18.02326,42.72637,24-06-2021,6,1,28.3,0,11.2,40.32,73,85.0477,8.0898,23.498,16.1783,8.6955,14.055
18.02312,42.72608,24-06-2021,6,1,28.3,0,11.2,40.32,73,85.0477,8.0898,23.498,16.1783,8.6955,14.055
18.61982,42.67132,1/10/2021,10,1,30,0,20.8,74.88,70,85.4631,7.4137,21.104,97.7688,7.8943,47.3312
16.96181,43.22078,22-10-2021,10,1,29.8,0,10,36,41,90.3461,8.7624,21.068,27.6386,8.744,20.9985
17.38922,42.55577,21-01-2022,1,1,29,0,22,79.2,80,84.717,6.7411,19.924,109.6746,7.3041,49.6523
16.96493,43.1899,2/4/2022,4,1,32.5,0,15.5,55.8,40,91.1387,10.8874,21.804,83.9362,10.7826,47.701
19.05717,42.11116,2/4/2022,4,1,23.3,0,18.9,68.04,27,91.9395,10.3182,20.148,174.2491,10.2019,73.2328
16.90154,43.14417,6/4/2022,4,1,39.1,0,26.3,94.68,59,88.9651,9.9958,22.992,436.1985,9.9564,123.3641
16.89509,43.14128,6/4/2022,4,1,39.2,0,26.3,94.68,59,88.9822,10.0057,23.01,437.2722,9.9663,123.5706
16.89666,43.13967,6/4/2022,4,1,39.2,0,26.3,94.68,59,88.9822,10.0057,23.01,437.2722,9.9663,123.5706
16.89108,43.14088,6/4/2022,4,1,39.2,0,26.3,94.68,59,88.9822,10.0057,23.01,437.2722,9.9663,123.5706
17.4243,43.23979,7/4/2022,4,1,25.7,0,19.5,70.2,45,89.019,9.5734,20.58,128.0328,9.5024,59.4167
17.41885,43.2424,7/4/2022,4,1,27.2,0,19.5,70.2,45,89.2919,9.7735,20.85,133.1486,9.6987,61.263
17.47166,44.16447,7/4/2022,4,1,30.5,0,14.9,53.64,14,96.2007,12.5883,21.444,152.1081,12.407,72.0727
17.43601,43.22984,8/4/2022,4,1,25.6,0,16.9,60.84,28,92.157,10.6605,20.562,125.0135,10.5383,60.5936
21.12139,40.14682,3/6/2022,6,1,32.7,0,11.7,42.12,26,93.8874,12.5848,24.29,62.0167,12.4617,41.4283
21.10315,40.16245,4/6/2022,6,1,31.7,0,10.5,37.8,28,93.2436,12.2173,24.11,45.6076,12.1049,33.5235
21.11035,40.16299,4/6/2022,6,1,30.7,0,10.5,37.8,28,93.0412,12.0277,23.93,44.3348,11.9193,32.7066
21.1296,40.18893,6/6/2022,6,1,30.2,0,13.2,47.52,36,91.4195,11.2737,23.84,57.5562,11.1944,37.9559
21.13015,40.19281,6/6/2022,6,1,29.7,0,13.2,47.52,36,91.3222,11.1895,23.75,56.7653,11.1119,37.5141
21.12734,40.19751,6/6/2022,6,1,31.2,0,13.2,47.52,36,91.6138,11.4422,24.02,59.1655,11.3593,38.849
20.41243,41.31327,11/7/2022,7,1,26.5,0,24.8,89.28,79,84.5787,7.3612,23.474,178.8613,8.2526,69.5718
17.42042,42.69541,16-07-2022,7,1,38,0,32.2,115.92,59,88.7858,9.765,25.544,1239.7174,9.9862,217.5273
19.88838,41.6748,26-09-2022,9,1,26.3,0,22.5,81,33,91.3727,9.2684,21.438,308.9444,9.2318,99.1774
16.44426,43.1194,18-12-2022,12,1,33.3,0,40,144,84,84.2585,6.6255,20.698,2699.0616,7.3606,299.9089
18.26348,42.66727,26-08-2023,8,1,33.4,0,27.8,100.08,67,86.5725,8.3504,24.016,406.7439,8.9345,114.8365
18.26618,42.66677,26-08-2023,8,1,33.5,0,27.8,100.08,67,86.5889,8.3572,24.034,407.688,8.9415,115.0134
20.12757,41.28718,6/9/2023,9,1,30.9,0,17.8,64.08,64,86.6711,8.051,22.266,67.2294,8.4571,38.0765
20.12581,41.28721,6/9/2023,9,1,30.8,0,17.8,64.08,64,86.6547,8.0446,22.248,67.0732,8.4503,38.0085
16.9984,43.23317,10/10/2023,10,1,30.7,0,12.3,44.28,64,86.6053,7.7346,21.23,24.5588,8.0956,18.7258
18.40277,42.69438,24-03-2024,3,1,23.8,0.2,39.5,142.2,69,85.0477,7.3158,18.988,2744.6333,7.4529,303.4325
18.78497,41.96858,20-04-2024,4,1,35.2,0,22.7,81.72,89,82.7639,6.968,22.29,96.2535,7.8226,46.7301
20.33572,40.84005,2/5/2024,5,1,37,0,14.3,51.48,67,87.1271,9.31,24.064,38.0166,9.4652,27.0514
16.71074,43.07895,12/5/2024,5,1,41.5,0,20.6,74.16,58,89.5446,10.7104,24.874,168.5575,10.6754,72.8677
20.62527,40.6595,13-06-2024,6,1,29.6,0,10.5,37.8,71,85.2068,8.3439,23.732,14.565,8.8813,13.059
20.96898,40.48522,17-06-2024,6,1,35.2,0,17.9,64.44,39,91.853,11.8295,24.74,143.5723,11.7447,68.3383
20.96367,40.48217,17-06-2024,6,1,33.1,0,17.9,64.44,39,91.4625,11.4923,24.362,135.8381,11.414,65.4609
19.31374,41.62147,26-11-2024,11,1,31.7,0,15,54,83,84.3232,6.7393,20.41,29.2033,7.3835,20.5371
17.44254,43.222,25-02-2025,2,1,22.3,0,20.9,75.24,71,85.0477,6.964,18.718,93.9994,7.2161,44.875
17.97998,43.16739,7/3/2025,3,1,20,0,25.5,91.8,95,77.8358,6.1798,18.304,94.8672,6.7024,44.119
17.97884,43.16243,7/3/2025,3,1,19.7,0,25.5,91.8,95,77.8066,6.1773,18.25,94.6408,6.6919,44.0305
19.00346,41.7177,17-03-2025,3,1,36.1,0,23.1,83.16,55,89.145,8.8535,21.202,250.4951,8.8333,86.6797
18.2458,42.57752,21-07-2023,7,0,32.5,0,38,136.8,38,91.63,10.8925,24.554,5331.9073,10.8435,466.3542
16.73561,43.05014,29-05-2025,5,0,39.1,0,18.7,67.32,79,85.0477,8.2225,24.442,63.0671,8.9325,37.2051
20.71868,39.8223,24-12-2024,12,0,29.6,0.6,18.6,66.96,84,83.7049,6.5582,20.032,51.6692,7.2129,30.3233
16.73585,43.04995,12/1/2024,1,0,30.9,0,24.1,86.76,88,82.5214,6.4727,20.266,120.3602,7.198,52.3852
19.28679,41.74485,26-08-2018,8,0,36.8,0,24.1,86.76,69,86.7487,8.4255,24.628,213.1429,9.0828,79.5306
16.73534,43.05249,2/5/2025,5,0,39,0,14.4,51.84,64,88.0147,9.8005,24.424,43.9489,9.799,30.2403
16.73739,43.2614,30-05-2025,5,0,38.9,0,18.3,65.88,78,85.1658,8.3167,24.406,59.6154,8.9818,35.9252
20.71628,39.82787,15-05-2025,5,0,45,0,37.5,135,40,93.4646,13.2819,25.504,6303.2761,13.156,533.5958
20.71576,39.82409,22-07-2023,7,0,44.2,0,34.3,123.48,26,96.1168,13.8728,26.66,5077.0823,13.7468,486.366
18.24558,42.57632,14-04-2021,4,0,23.2,0.1,18.8,67.68,86,82.1768,6.8248,20.13,44.0989,7.3878,27.4445
20.71544,39.8228,28-11-2017,11,0,32.6,0,18.2,65.52,73,85.285,7.2063,20.572,59.516,7.6837,34.0375
19.28898,41.74739,12/4/2025,4,0,34.5,0,19.6,70.56,60,87.9812,9.4522,22.164,112.34,9.422,54.6716
18.29941,42.25232,23-04-2025,4,0,33.3,0,15.4,55.44,42,90.917,10.837,21.948,79.8643,10.7375,46.1576
19.28926,41.741,25-02-2018,2,0,32.1,0,14.5,52.2,95,79.3388,6.2358,20.482,14.7644,7.0816,12.0517
16.7356,43.0512,6/1/2018,1,0,27.9,0.1,12.1,43.56,96,78.2463,6.1428,19.726,8.6389,6.9078,7.5809
20.71798,39.82601,12/3/2018,3,0,34.9,0,35,126,53,89.3151,8.8842,20.986,2222.868,8.8575,284.9778
20.71577,39.82664,22-02-2018,2,0,32.5,0,22.3,80.28,91,81.4888,6.4296,20.554,76.6203,7.216,39.3544
19.29067,41.74623,30-01-2018,1,0,22.2,0,12.6,45.36,89,81.0667,6.3155,18.7,12.5598,6.8486,10.4251
19.29108,41.74569,16-03-2018,3,0,28.3,0,15.9,57.24,85,83.2116,6.7517,19.798,29.6859,7.289,20.6861
18.24579,42.57865,6/8/2018,8,0,24.4,0,17.7,63.72,98,76.4319,6.1053,22.396,20.7421,7.2616,15.855
20.71571,39.82805,14-06-2025,6,0,40.4,0,19.1,68.76,44,91.87,12.1183,25.676,178.9176,12.0395,78.5585
20.71488,39.82566,14-08-2024,8,0,38.8,0,22.7,81.72,83,85.0477,7.4003,24.988,130.2969,8.5042,57.9514
20.7144,39.82648,23-01-2020,1,0,25.4,0,33.6,120.96,47,88.7076,7.7291,19.276,1580.3272,7.7279,230.3379
18.24588,42.57766,25-04-2025,4,0,27.4,0,17.3,62.28,53,87.9367,9.2474,20.886,73.5466,9.1996,41.5205
20.71688,39.8238,19-07-2022,7,0,41.1,0,42,151.2,25,95.7825,13.4332,26.102,19614.7908,13.3127,915.7335
20.71594,39.82635,19-03-2024,3,0,30.8,0,38.1,137.16,78,85.0477,7.1963,20.248,2129.0628,7.6211,267.9288
19.29035,41.74226,30-06-2023,6,0,41.4,0,16.2,58.32,49,91.1228,11.7063,25.856,95.085,11.6474,52.9799
20.71505,39.82548,2/6/2025,6,0,43.8,0,40.9,147.24,31,95.0249,14.1562,26.288,14489.9752,14.0138,806.6333
19.28889,41.74606,13-03-2018,3,0,32.5,0,16,57.6,71,85.6556,7.661,20.554,42.0418,7.9314,27.2152
21.12544,40.14082,31-03-2018,3,0,29,0,15,54,66,86.0064,7.7445,19.924,36.8321,7.8554,24.7498
18.02683,42.72258,3/5/2020,5,0,22.8,0.2,12.6,45.36,83,83.0643,7.0696,21.508,16.0077,7.7614,13.3212
20.71755,39.82793,25-06-2025,6,0,43,0,31.7,114.12,30,95.0817,14.127,26.144,2751.9649,13.983,361.1002
20.71672,39.82717,21-01-2018,1,0,31.3,0,21.6,77.76,70,85.6668,7.1966,20.338,116.2914,7.6372,52.2214
19.29112,41.74527,6/2/2018,2,0,29.9,0,19.4,69.84,92,80.6574,6.3523,20.086,41.191,7.095,25.827
20.71816,39.82513,24-11-2017,11,0,30.6,0,20,72,64,86.6309,7.513,20.212,99.6347,7.7884,47.6937
19.29218,41.74324,14-03-2021,3,0,36,0,18.1,65.16,65,87.3428,8.2134,21.184,78.109,8.3415,41.7654
16.73662,43.04996,7/5/2025,5,0,36.7,0,19.6,70.56,74,85.7215,8.5874,24.01,81.5266,9.0673,44.1354
20.71749,39.82621,30-09-2022,9,0,37.3,0,26.3,94.68,96,79.3726,6.2735,23.418,125.9763,7.5144,54.6049
18.24751,42.57691,13-08-2022,8,0,26.1,0,14.5,52.2,91,80.6728,6.5054,22.702,16.9631,7.5803,13.8104
